
============================================================
=== 实验测试时间: 2026-03-11 17:01:34 ===
============================================================
当前使用的计算设备: cuda

====================
模型开始测试 ...
✅ 测试样本 01 | 预测: s01 ---- 真实: s01
✅ 测试样本 02 | 预测: s01 ---- 真实: s01
✅ 测试样本 03 | 预测: s02 ---- 真实: s02
✅ 测试样本 04 | 预测: s02 ---- 真实: s02
✅ 测试样本 05 | 预测: s03 ---- 真实: s03
✅ 测试样本 06 | 预测: s03 ---- 真实: s03
✅ 测试样本 07 | 预测: s04 ---- 真实: s04
✅ 测试样本 08 | 预测: s04 ---- 真实: s04
✅ 测试样本 09 | 预测: s05 ---- 真实: s05
测试样本❌ 10 | 预测: s40 ---- 真实: s05
✅ 测试样本 11 | 预测: s06 ---- 真实: s06
✅ 测试样本 12 | 预测: s06 ---- 真实: s06
✅ 测试样本 13 | 预测: s07 ---- 真实: s07
✅ 测试样本 14 | 预测: s07 ---- 真实: s07
✅ 测试样本 15 | 预测: s08 ---- 真实: s08
✅ 测试样本 16 | 预测: s08 ---- 真实: s08
✅ 测试样本 17 | 预测: s09 ---- 真实: s09
✅ 测试样本 18 | 预测: s09 ---- 真实: s09
✅ 测试样本 19 | 预测: s10 ---- 真实: s10
测试样本❌ 20 | 预测: s38 ---- 真实: s10
✅ 测试样本 21 | 预测: s11 ---- 真实: s11
✅ 测试样本 22 | 预测: s11 ---- 真实: s11
✅ 测试样本 23 | 预测: s12 ---- 真实: s12
✅ 测试样本 24 | 预测: s12 ---- 真实: s12
✅ 测试样本 25 | 预测: s13 ---- 真实: s13
✅ 测试样本 26 | 预测: s13 ---- 真实: s13
✅ 测试样本 27 | 预测: s14 ---- 真实: s14
✅ 测试样本 28 | 预测: s14 ---- 真实: s14
✅ 测试样本 29 | 预测: s15 ---- 真实: s15
✅ 测试样本 30 | 预测: s15 ---- 真实: s15
✅ 测试样本 31 | 预测: s16 ---- 真实: s16
✅ 测试样本 32 | 预测: s16 ---- 真实: s16
